Date,Predicted_Close
2025-06-26 00:00:00+05:30,673.3134
2025-06-27 00:00:00+05:30,671.8955
2025-06-30 00:00:00+05:30,670.5597
2025-07-01 00:00:00+05:30,669.3005
2025-07-02 00:00:00+05:30,668.11316
2025-07-03 00:00:00+05:30,666.9926
2025-07-04 00:00:00+05:30,665.9344
2025-07-07 00:00:00+05:30,664.93414
2025-07-08 00:00:00+05:30,663.9881
2025-07-09 00:00:00+05:30,663.09247
2025-07-10 00:00:00+05:30,662.24414
2025-07-11 00:00:00+05:30,661.4402
2025-07-14 00:00:00+05:30,660.6779
2025-07-15 00:00:00+05:30,659.95483
2025-07-16 00:00:00+05:30,659.2688
2025-07-17 00:00:00+05:30,658.6178
2025-07-18 00:00:00+05:30,658.0002
2025-07-21 00:00:00+05:30,657.414
2025-07-22 00:00:00+05:30,656.8578
2025-07-23 00:00:00+05:30,656.33
2025-07-24 00:00:00+05:30,655.82916
2025-07-25 00:00:00+05:30,655.35394
2025-07-28 00:00:00+05:30,654.9031
2025-07-29 00:00:00+05:30,654.4754
2025-07-30 00:00:00+05:30,654.06976
2025-07-31 00:00:00+05:30,653.68506
2025-08-01 00:00:00+05:30,653.3202
2025-08-04 00:00:00+05:30,652.97424
2025-08-05 00:00:00+05:30,652.6463
2025-08-06 00:00:00+05:30,652.33527
