Date,Predicted_Close
2025-06-26 00:00:00-04:00,196.04332
2025-06-27 00:00:00-04:00,195.93907
2025-06-30 00:00:00-04:00,195.80841
2025-07-01 00:00:00-04:00,195.65736
2025-07-02 00:00:00-04:00,195.4917
2025-07-03 00:00:00-04:00,195.31572
2025-07-04 00:00:00-04:00,195.1331
2025-07-07 00:00:00-04:00,194.94699
2025-07-08 00:00:00-04:00,194.75928
2025-07-09 00:00:00-04:00,194.57268
2025-07-10 00:00:00-04:00,194.38837
2025-07-11 00:00:00-04:00,194.20757
2025-07-14 00:00:00-04:00,194.03117
2025-07-15 00:00:00-04:00,193.85982
2025-07-16 00:00:00-04:00,193.69362
2025-07-17 00:00:00-04:00,193.5329
2025-07-18 00:00:00-04:00,193.37752
2025-07-21 00:00:00-04:00,193.22754
2025-07-22 00:00:00-04:00,193.08289
2025-07-23 00:00:00-04:00,192.94354
2025-07-24 00:00:00-04:00,192.80937
2025-07-25 00:00:00-04:00,192.68025
2025-07-28 00:00:00-04:00,192.55594
2025-07-29 00:00:00-04:00,192.43637
2025-07-30 00:00:00-04:00,192.32149
2025-07-31 00:00:00-04:00,192.2111
2025-08-01 00:00:00-04:00,192.1049
2025-08-04 00:00:00-04:00,192.00282
2025-08-05 00:00:00-04:00,191.90459
2025-08-06 00:00:00-04:00,191.81009
