Date,Predicted_Close
2025-06-26 00:00:00+05:30,1330.9819
2025-06-27 00:00:00+05:30,1329.4889
2025-06-30 00:00:00+05:30,1326.2286
2025-07-01 00:00:00+05:30,1321.8164
2025-07-02 00:00:00+05:30,1316.7191
2025-07-03 00:00:00+05:30,1311.2794
2025-07-04 00:00:00+05:30,1305.7396
2025-07-07 00:00:00+05:30,1300.2662
2025-07-08 00:00:00+05:30,1294.9692
2025-07-09 00:00:00+05:30,1289.9178
2025-07-10 00:00:00+05:30,1285.153
2025-07-11 00:00:00+05:30,1280.6945
2025-07-14 00:00:00+05:30,1276.549
2025-07-15 00:00:00+05:30,1272.7131
2025-07-16 00:00:00+05:30,1269.1775
2025-07-17 00:00:00+05:30,1265.9288
2025-07-18 00:00:00+05:30,1262.9514
2025-07-21 00:00:00+05:30,1260.228
2025-07-22 00:00:00+05:30,1257.7418
2025-07-23 00:00:00+05:30,1255.475
2025-07-24 00:00:00+05:30,1253.4111
2025-07-25 00:00:00+05:30,1251.534
2025-07-28 00:00:00+05:30,1249.8285
2025-07-29 00:00:00+05:30,1248.2803
2025-07-30 00:00:00+05:30,1246.8761
2025-07-31 00:00:00+05:30,1245.6034
2025-08-01 00:00:00+05:30,1244.4508
2025-08-04 00:00:00+05:30,1243.4077
2025-08-05 00:00:00+05:30,1242.4645
2025-08-06 00:00:00+05:30,1241.6119
